track,artist,genre,valence_tags,arousal_tags
Every Soul Entombed,Skáphe,black metal,3.96,3.18
Push Your Tush,Jessica Simpson,pop,6.216666666666667,5.6466666666666665
Vanilla Twilight,Owl City,electronic,7.125471698113207,4.769622641509434
Fly With Me,Relaxing Dreams,electronic,6.84,5.0
The Vampire Club,Voltaire,dark cabaret,3.3981250000000003,3.2456250000000004
Outkast,P.O.D.,hard rock,3.025,2.725
Missing,som[e],piano,2.8366666666666664,3.9966666666666666
Peculiar,Man Like Me,,7.45,4.19
Ruby Magic,Portugal. The Man,experimental,3.652857142857143,2.8057142857142856
The Day the World Went Away (Quiet),Nine Inch Nails,industrial,3.2833333333333337,2.7133333333333334
Uncle Bernie's Farm,Frank Zappa,progressive rock,4.24,5.19
Autumn in New York,Jo Stafford,jazz,6.636666666666667,3.2700000000000005
6.6,Supersilent,ambient,5.1875,3.715
Big Day Coming,Yo La Tengo,alternative,3.525,0.955
Last Ash of Bone,Sunburned Hand of the Man,,7.22,6.02
Dream Girl,L. CEDEÑO,,6.96,3.9125
Frozen Time,chilling crew,sad,4.266666666666667,4.57
Volume 2: Untitled 3,Electric Dress,noise,3.122,4.746
Heartfelt,Figurine,electronic,5.715000000000001,3.4925
Kaze ni Naru,Ayano Tsuji,anime,6.585,4.447500000000001
Come With Me,Rare Earth,rock,6.813750000000001,6.751250000000001
Don't Touch Your Sister,Kevin Bloody Wilson,comic,7.5,4.3
This World is Crazy,Lonely Drifter Karen,jazz,7.443333333333333,4.824999999999999
Pile of Gold,The Blow,indie pop,7.206274509803921,4.957647058823529
Party People,Herbie Hancock,soundtrack,5.88,4.05
Hurt (Jack Shaft Main Mix),Christina Aguilera,hip-hop,7.083333333333333,6.476666666666667
Victoria,Triarii,martial industrial,5.814756097560976,4.362073170731708
Iko-Iko,Warren Zevon,rock,2.513333333333333,3.3233333333333333
Take Me Down,The Smashing Pumpkins,alternative rock,5.731555555555555,3.498111111111112
Nobody's Wedding,Richard Thompson,folk,4.223333333333334,3.3466666666666667
"Lay, Lady, Lay - Take 2",Bob Dylan,classic rock,6.565,3.745
Ailein duinn,Trobar de Morte,medieval,4.726695187165775,3.978877005347593
Medicine Hat [Live][#],Son Volt,indie,4.013333333333334,3.0933333333333333
Rainy Night in Soho,The Pogues,folk,6.221428571428572,3.3514285714285714
Apostasy,Xentrifuge,industrial,4.985,5.08
Tomten,Kreti och Pleti,,7.45,4.19
Ba Ba Ba,Miss Li,indie,7.787976190476191,6.165357142857142
Light It Up,Cypress Hill,hip hop,6.42,2.76
그게 너라면 (If That Was You),선미,,7.42,5.18
Vacuum Boogie,Floating Points,house,6.8133333333333335,4.63
"Sukiyanen, Osaka.",関ジャニ∞,j-pop,6.598684210526317,5.810526315789474
Congratulations (2007 Remastered LP Version),Traveling Wilburys,country rock,4.24,5.19
Samskeyti,Sigur Rós,post-rock,6.323008130081303,3.986666666666667
Ghost (Piano Trio),Ludwig van Beethoven,classical,2.645,1.74
My Own Hell,Cautiva,thrash metal,4.516666666666667,5.683333333333334
Favorite Thing,The Replacements,alternative,3.336,3.804
Hildring,Erik Wollo,guitar,6.59,3.57
I Wanna Be Your Man,Zapp & Roger,soul,5.335,4.865
Run To,Emerson Hart,rock,3.805,2.56
На моей луне,Мертвые дельфины,rock,1.5694444444444444,2.413425925925926
I Walked,Sufjan Stevens,indie,5.926315789473684,4.369122807017544
"On Love, In Sadness",Jason Mraz,singer-songwriter,7.164545454545456,5.225314685314686
Compilation Cassette,Darren Hayman & The Secondary Modern,romance,5.1,4.09
Turn it Off,Drive Like Jehu,post-hardcore,5.25,4.773333333333333
Everybody Loves You,Kaki King,indie,6.512499999999999,4.715000000000001
Come on Over,Jessica Simpson,country,4.291176470588235,4.468235294117648
"Stefan, Ruler of Moldavia",Boyd Rice,german,5.4,4.23
Apartment,Young the Giant,indie rock,7.367831325301204,4.005421686746987
Suburbia,Infinite Monopoly,indie,3.3,4.78
対象a,anNina,anime,6.38,3.0899999999999994
Karuzele skutery rodeo,Lenny Valentino,psychedelic rock,6.47,3.22
Like A Call,Architecture in Helsinki,indie pop,6.698571428571428,3.7828571428571434
Mammoths,John Powell,soundtrack,3.475,2.35
The Mercy Seat,Unter Null,ebm,4.336666666666667,4.003333333333333
Erase Me - Main,Kid Cudi,hip hop,2.9566666666666666,2.75
I Say Yes (Zero no Tsukaima - Futatsuki no Kishi),YURiE,anime,7.88,6.114000000000001
Keskeisvoima / Centralforce,Pan Sonic,experimental,3.555,5.285
Memory [From Cats],Michael Stairs,,5.1,4.09
Y Reg,John Shuttleworth,comedy,6.115,4.445
Is It Wicked Not to Care?,Belle and Sebastian,indie,5.424000000000001,3.984
At Risk,Trent Reznor & Atticus Ross,,3.05,6.24
The Sunday Song,The God Machine,progressive metal,3.15,3.32
Hope 1-Call from the Depths- Meyaamakim,Shoshannah,ambient,4.13,3.286666666666666
Mutron Angel,OutKast,hip-hop,5.205,3.49
Ljudet innan,Storm Corrosion,progressive rock,2.86,2.045
Slaughter (Album Version),Billy Preston,soundtrack,8.184999999999999,6.04
Lonely Star,Asura,electronic,5.55,4.29
Bang Bang (Balls of Fire),Kix,hard rock,3.85,5.64
Pacem in terris,Marco Frisina,,6.95,5.0
Georgia on My Mind,Jackie Wilson,soul,7.26,2.55
같은 사람,디어 클라우드,,3.445,0.835
Only Get So Far,Brides of Destruction,rock,3.85,5.64
Grey Waters,Skerror,noise,4.754285714285714,5.014285714285714
Judas,The Agony Scene,metalcore,5.54,5.614999999999999
Moreno,Joyce,jazz,8.0,5.76
Dead Faces,Okkervil River,indie,5.295,3.86
Honey,Mariah Carey,pop,7.243035714285715,5.445892857142858
Over The Rainbow,Angelis,,7.0,4.43
True Affection,The Blow,indie,6.588666666666668,3.877
Severed Heart,Lunascape,trip-hop,1.6441791044776122,1.075820895522388
Recommendation,Mirah,indie,6.682,4.836
mexican7,Apparat,ambient,5.55,4.29
Spiderwebbed,Tortoise,post-rock,6.72,4.86
The Parting Glass,The Pogues,folk,6.72,4.86
Cat And Mouse,The Red Jumpsuit Apparatus,emo,4.127142857142857,4.626666666666667
Shameless,Groove Armada,electronic,6.650000000000001,3.835
Let My Home Be My Gallows,Hans Zimmer,soundtrack,3.0800000000000005,3.415
Torture,Berlin,new wave,3.9650000000000007,4.095000000000001
Summertime,George Shearing,jazz,6.84,3.81
Wide Eyed,Animal Collective,indie rock,5.25,3.73
Marco Polo,Loreena McKennitt,celtic,6.114736842105264,4.386842105263159
Aspire,Northlane,metalcore,6.95,4.7
Brickbats,Captain Beefheart & His Magic Band,experimental,2.7425,3.395
Blossom,Komeda,soundtrack,7.35,5.54
Philadelphia,Magazine,post-punk,5.45,5.225
Rubber Biscuit,Supersuckers,rock,7.809999999999999,5.33
Silent Fuck,Die In Progress,industrial,2.4233333333333333,4.738333333333332
Unsatisfiable,Anna Abreu,pop,3.24,5.266666666666667
The Ellie Badge,Michael Giacchino,soundtrack,3.64,3.543333333333333
She Took My Soul In Istanbul,Marc Almond,synthpop,7.55,6.9
Das Leid Vom Einsamen Madchen (Album Version),Martin L. Gore,new wave,7.26,2.55
Baby's Gone,Trace Adkins,country,6.498928571428571,3.2416666666666663
The Hunter And The Lady,Nigel Mazlyn Jones,folk,5.1,4.09
Rakimou,Plaid,idm,4.768363636363636,3.7212727272727273
Bright Eyes - First Day of My Life,Bright Eyes,,6.84,5.0
Three Places,Paul Cantrell,,3.0,5.35
The Song That Jane Likes,Dave Matthews Band,rock,6.353837638376382,4.195239852398523
Piece of Paper,Amon Tobin,electronic,5.293333333333334,4.83
TRANSPARENCY OF FREEDOM,Miguel Samiez,electronica,4.86,3.14
Wish,Hammock,ambient,7.1459375000000005,4.634375
Jungle Love feat. MED & Guilty Simpson,J Dilla,hip-hop,5.88,4.05
Perfect on Paper,Her Space Holiday,indie,5.0200000000000005,3.955
O viridissima virga (O greenest branch hail),Sinfonye,early music,6.95,5.0
Na Krawędzi Snu,Magda Wójcik,,7.22,3.51
Wellen Der Zeit,The Days of the Trumpet Call,martial industrial,5.4,4.23
Curious,Kode9 & The Spaceape,dubstep,5.137227722772278,3.968811881188119
Heaven Forbid,The Fray,rock,5.65104761904762,3.659619047619049
What it is to love,Painted Water,piano,7.697391304347826,4.955652173913044
Er und Sie,Rainald Grebe und die Kapelle der Versöhnung,,7.386666666666667,5.676666666666667
今,椎名林檎,cabaret,6.395,3.54
Dead Is the New Alive,Emilie Autumn,industrial,4.384285714285714,3.9364285714285714
Wonder 'bout,宇多田ヒカル,pop,3.63,4.64
Отпускаю,Maxi M,sad,4.47,3.65
Once You Say (Tom Furse remix),Nitzer Ebb,ebm,5.565,4.58
Pensiero notturno,Fabrizio Paterlini,piano,1.87,2.065
2000000 Dubs,King Unique,electronica,5.55,4.225
King Oedipus - Final Chorus And Coda (King Oedipus - Final Chorus And Coda),Harry Partch,avant-garde,6.5,3.29
St. George,Flashguns,british,5.57,3.38
a new hope,The Northern Coast,indie,4.06,3.9566666666666666
Flamme des Lebens,Lamento,electronic,4.14,1.9333333333333331
Trousers,Archie Wah Wahs,new wave,7.12,6.1
Love Love Love (),Tristan Prettyman,acoustic,5.64,3.196
Sag es jetzt,:Wumpscut:,industrial,3.98328125,3.48875
Gras,Kammerflimmer Kollektief,nu jazz,3.56,5.51
Avalanche,Manafest,hip-hop,6.420000000000001,5.699999999999999
Acorns,Max Tundra,electronic,4.21,4.6
Andy Dick gropes himself,Chris B. Martin,comedy,7.5,4.3
Crosses,José González,acoustic,6.179891304347828,3.271304347826087
Lady Marmalade,Sheila E.,soul,4.85,5.77
Star Me Kitten,R.E.M.,rock,6.025802469135804,3.887901234567901
Morning Glory,Leonard Cohen,folk,4.325714285714286,3.5342857142857147
Cloud Constructor,Spiral Architect,progressive metal,5.0,5.28
The Upper Hand,Menace Ruine,martial industrial,5.4,4.23
Dirty Deeds Done With Sheep,Doctor Demento,parody,7.81,5.33
Bust Ya Gunz,Swizz Beatz,hip-hop,6.53,4.855
Watch the Packard,Ruxpin,idm,2.86,2.045
Elegy Of The Winter Misanthropy,Ravenmoon Sanctuary,black metal,5.29,3.48
Runners Stand Still,Trans Am,,7.0,4.43
Home,She & Him,indie,7.282340425531914,4.037872340425532
Goin Out West,Queens of the Stone Age,alternative rock,1.5,2.675
Love's Dance,"Earth, Wind & Fire",soul,7.08,4.836666666666666
Battlestations,Fight Like Apes,indie rock,6.81,5.618
Safe with Me,Sam Smith,pop,6.47,3.22
Violet Tree,M83,electronic,5.709090909090908,4.032386363636364
Past Has Not Passed,James Blackshaw,folk,1.4549999999999998,2.02
Max Et Abel,Philippe Sarde,soundtrack,5.88,4.05
The Pole Star,Remi,classical,5.009032967032966,4.169560439560439
Garden Of Eden Located,Prurient,,3.0,5.35
"Redemption, Passion, Glory (On A Search In America )",Dizmas,indie,3.63,4.64
Long Live Rock,The Who,classic rock,8.136666666666667,6.156666666666666
Stand in the Fire,Warren Zevon,rock,2.5133333333333336,3.3233333333333337
Close-Up,Charles Wilp,bajki,6.32,5.13
Salvation For A Proud Nation,Immediate Music,soundtrack,6.18,5.695
Corpse Pose,Unwound,post-hardcore,5.88,4.05
Human Like A House,The Finches,singer-songwriter,6.750416666666666,3.7148214285714287
Tears of blood,Jack or Jive,new age,3.593262518968133,4.456934749620637
Divine Embrace / Shechinah,Shoshannah,piano,5.438,3.658
Past The Sleep,Company Of Thieves,indie,6.32,3.23
Riverwide,Sheryl Crow,rock,5.392692307692308,3.6603846153846153
Light,Diorama,electronic,1.7666666666666666,1.7866666666666666
Come in Out of the Rain,Engineers,shoegaze,7.36864406779661,4.502796610169491
Ruff Dub (Breakage & Rohan),Breakage,drum and bass,4.95,3.7
The Nutcracker: Coffee (Arab Dance),Pyotr Ilyich Tchaikovsky,focus,6.76,4.6575
Fool For You,Nichole Nordeman,pop,5.82,4.82
Midnight in Moscow,New Orleans Syncopators,jazz,5.35,5.83
Alcohol,The Kinks,classic rock,6.61,5.25
Grandmother's House,Macabre,death metal,2.6566666666666667,2.6633333333333336
Three Long Piles,A Minor Forest,,4.21,4.6
Big Hand Nails Down,Soap&Skin,experimental,4.867500000000001,5.244999999999999
Persis,Brian Eno & J. Peter Schwalm,ambient,6.680508474576272,4.897288135593221
It's All Good,Cold,alternative rock,4.048547008547009,3.1746153846153846
Blues Is My Business,Etta James,blues,2.286666666666666,2.4066666666666667
Eat To Live,Talib Kweli,hip-hop,5.047499999999999,3.5325
Oh Ms Believer,Twenty One Pilots,pop rap,7.26,2.55
It's Thunder And It's Lightning,We Were Promised Jetpacks,indie rock,5.027948717948718,3.4933333333333336
Zahouly,ZAILM Atoyanh,nu jazz,5.196446124763704,3.948998109640832
Know Your Onion!,The Shins,indie,7.0985,4.541500000000001
Lo Fi Groovy,All India Radio,lounge,6.621904761904761,4.045428571428571
Kissin U,Miranda Cosgrove,pop,7.6958,5.1728
pir,Serkan Süleymaniye,sufi,5.5,4.1450000000000005
The Spy,The Doors,psychedelic rock,4.385909090909092,4.005227272727273
Deep One Perfect Morning,The Jesus and Mary Chain,post-punk,6.4,3.7666666666666666
Hunting For You,Robbie Williams,rock,5.879232673267327,4.829876237623763
When You Put It Like That,Ilse DeLange,country,6.47,3.22
So So,Gary Go,pop,4.6675,3.4
'Tis So Sweet to Trust in Jesus,Pete Huttlinger,acoustic,6.95,5.0
Shakedown!,theSTART,rock,3.89,6.45
02 - Old Friends / Bookends,Simon & Garfunkel,,3.25,2.9
Moderato,Sergei Rachmaninoff,classical,6.675438596491228,4.57421052631579
Parisienne Moonlight,Anathema,doom metal,2.4743023255813954,2.185116279069768
The Donner Party,Rasputina,steampunk,5.6925,4.38
02,Orthrelm,,5.0,5.28
White Dove,Sleepy Sun,rock,3.15,3.32
Gothic Spandex,Color Collapse,indie,6.939545454545455,4.276363636363636
Undoing a Luciferian Towers,Godspeed You! Black Emperor,drone,5.53125,5.06625
Somalia,Al Di Meola,jazz,7.42,3.17
"3,000 Miles (album version)",Tracy Chapman,singer-songwriter,5.356,2.662
The Only Exception,Paramore,acoustic,6.919448818897638,4.753858267716536
Nuurdfresklun det san wi,Lembek,indie,4.945,5.505000000000001
Kyomu no naka de no Yuugi,Malice Mizer,j-rock,4.19,4.766666666666667
Dance Of The Mirlitons,Pyotr Ilyich Tchaikovsky,classical,7.575555555555557,5.205555555555556
Diamond in Your Mind,Solomon Burke,soul,4.671025641025641,3.753589743589744
Spanish Joint,D'Angelo,soul,6.619666666666666,4.203333333333333
Marian,Goldbarne,acoustic,1.05,1.745
Apple Pie,The Bastard Fairies,indie pop,6.703636363636363,4.224805194805195
Uni Rec,Alva Noto,electronic,4.32,4.8
Show Me How to Cry,Mystification,darkstep,3.422,4.434
"Symphonie Fantastique, op.14: Dies irae",Chicago Symphony Orchestra,classical,5.62,4.82
Lemon Sunrise,Powderfinger,rock,6.835,2.625
Life is Beautiful,LIL PEEP,hip-hop,3.685,4.38
Cottonwool (A Guy Called Gerald Mix),Lamb,electronic,5.053999999999999,3.414
Lily,Pierre Perret,,6.27,2.95
Physical,Dua Lipa,pop,7.569999999999999,6.1
"We Play It, You Scream It",Crashdïet,rock,3.85,5.64
Day Is Done,"Peter, Paul & Mary",folk,3.34,1.405
Razorblade,Ils,breakbeat,6.666666666666667,4.746666666666666
Tesser Arius,Cold Fusion,martial industrial,5.4,4.23
Inner Radio,Cathi Bruns,singer-songwriter,2.67,4.37
Right Hand Hi,Kid Sister,dance,5.046666666666667,4.066666666666666
Blood Trance Fusion,Nachtmystium,black metal,3.4,5.57
Electric Head: The Agony (Pt. 1),White Zombie,metal,3.412604166666666,5.941875
Devil in My Life,Grace Jones,pop,5.576148148148149,4.759925925925925
Clouds Suite,David Gates,,7.34,2.86
Timglas,Lars Winnerbäck,rock,5.3950000000000005,3.02
Christine's Tune (A.K.A. Devil In Disguise),The Flying Burrito Brothers,country,7.17,6.33
Spiritual Trance,Infected Mushroom,electronic,4.7,4.4675
Blue Skied Demon,Donato Wharton,ambient,5.4560355029585805,3.4669230769230768
Lividity,Melvins,rock,4.512,3.448
The Whistler,Crippled Black Phoenix,post-rock,5.125353535353534,3.711818181818182
I Think I Love You,Katie Cassidy,,6.65,5.872
Accident Sex,Vendetta Red,rock,6.84,3.81
Stigmata,Gallo,,6.615,6.81
Ode to Viceroy,Mac DeMarco,rock,6.653333333333333,4.64
Fly Again Alone,Dan Kerrigan,,3.228,3.61
Year of the Rat,Sufjan Stevens,electronic,5.704,3.18
If I Was Your Woman,Alicia Keys,soul,6.904999999999999,3.67
Viva La Muerte,Agonoize,ebm,3.15,3.32
Mean Old World,Colin Nagle,blues,3.835,4.4
Circles (Classic Club Mix),Saffron,piano,4.0,5.7
Clunk,Yo La Tengo,indie,7.63,5.89
All the Way,New Order,new wave,7.002352941176471,4.554313725490196
Give Me a Smile,Sibylle Baier,folk,6.561249999999999,3.96765625
Everybody's Gotta Learn Someti,Beck,soundtrack,3.003,3.6985
Heavenfallen,Goldmund,contemporary classical,5.994473684210527,2.682105263157895
"Tudom, hogy szeretsz titokban",Heaven Street Seven,alternative,4.7700000000000005,2.9
Spoon,Boris,shoegaze,4.768119266055046,5.041192660550458
Varanasi Summer Dub,Lab's Cloud,electronic,5.55,4.29
To Each His Own,Feathers,folk,7.05,2.99
Old Fools,The Magnetic Fields,indie,3.6233333333333335,2.4
Mountain May,A Cloud Mireya,,6.38,3.09
Gun Blade,Skerror,noise,4.754285714285714,5.014285714285714
The Outer Rim,Matti Paalanen,indie,3.8316666666666666,3.26
Colorado Incident,The Gathering,progressive rock,4.06,3.1666666666666665
Lovely 2 C U,Goldfrapp,electronic,6.872222222222222,5.640833333333332
Never Ending Happening,Bill Fay,folk,5.1,4.09
Four Suns,Jucifer,,6.33,5.76
Uni C,Alva Noto,electronic,4.32,4.8
Victory Lap,Ghostland Observatory,,6.9525,3.5925
Can't help falling in love,Blackmore's Night,folk,3.74,4.3533333333333335
I Need A Man,The Pointer Sisters,soul,6.135,6.285
A Nightingale Sang in Berkeley Square,Nat King Cole,jazz,5.744,3.15
NYC's Like a Graveyard,The Moldy Peaches,rock,2.851287128712872,2.0366336633663367
Cardiac,Ley Lines,,7.95,6.95
Be Still My Soul,The Priests,choral,6.95,5.0
Ximit: X Out the Limits,krovo,ambient,4.515,4.83
Happiness / The Gondola Man,Elliott Smith,singer-songwriter,7.003749999999999,3.5925
A Man's Gotta Do,"Neil Patrick Harris, Felicia Day & Nathan Fillion",soundtrack,7.81,5.33
At Your Door,Chromatics,chill,6.41592715231788,4.653476821192053
Схема,Наив,ska,4.22,3.86
Best Love,Kurt Vile,party,6.545,4.785
All I Want Is You (Barry Louis Polisar Cover),Ben Grimm & The Things,classic rock,7.6525,5.34
Waking Life,Schuyler Fisk,folk,6.375,4.113333333333333
Peacebone (Album Version),Animal Collective,electronic,5.296666666666667,4.226666666666667
Playing God,Sadistik,hip-hop,3.12,5.6000000000000005
Kanon,Krzysztof Penderecki,,3.7,5.675
Funny Freak Parade,Ultimate Spinach,psychedelic rock,6.745,4.289999999999999
Deliver Me From Mine Enemies,Diamanda Galás,experimental,3.805547309833024,4.906326530612246
Terms of Psychic Warfare,Hüsker Dü,punk,7.4017647058823535,5.633529411764706
Civilize Reggae,Burning Spear,reggae,6.47,4.91
Controller,Prong,metal,2.53,6.2
On My Side (demo),Colours Run,indie,6.6269387755102045,4.183469387755102
Darling Didn't We Kill You?,Ulver,avant-garde,5.411142857142857,3.853428571428572
May the Circle Be Unbroken,Spacemen 3,space rock,5.944999999999999,3.4975
Three Years Ago Today,Built to Spill,indie rock,6.73,5.265
Ice Cream,Muscles,electro,6.274,5.187666666666667
Who Built The Road,Isobel Campbell & Mark Lanegan,acoustic,4.257185185185185,2.434740740740741
I Have Friends in Holy Spaces,Panic! at the Disco,indie,6.971428571428572,5.334285714285714
a verdade oculta de uma jovem atriz | VERDADES OCULTAS,Harvey Weinstein,metal,5.515555555555555,4.13
It Was Nothing,The Coral,indie,6.67,3.76
Injection,Hans Zimmer,soundtrack,4.941764705882353,4.497058823529412
Woman,Azar Baksh,,5.642,3.978
Mote,Sonic Youth,experimental,6.53030303030303,4.433333333333333
Intimate Strangers,Rippingtons,jazz,6.82,4.39
Champions Of Nothing,Matthew Good,rock,5.113333333333332,3.896666666666666
Ich würde gern einmal in Dresden singen,Reinhard Mey,german,7.26,2.55
A Million Dollars,Joel Plaskett Emergency,indie,6.86,6.075
Angstmotiv,Trümmerwelten,noise,3.286666666666666,5.63
Traveler in the Wonderland,Susumu Yokota,soundtrack,5.67,4.216666666666667
Romantic Rights,Death from Above 1979,indie,7.232352941176472,6.2874509803921566
Commercial Whore,X-Fusion,dark electro,4.4,6.0
Goggles,Melvins,sludge metal,4.775,5.26
Your Own Special Way (live),Genesis,,6.47,3.22
St. Valentine's Day Massacre,Kevin Peckham,indie,5.96,3.95
La Bella Confusione (Ouverture),Rossana Casale,,4.56,2.4133333333333336
Million Miles,Mirah,indie,4.932692307692308,2.6668269230769237
Paradise Now (Onova Remix),DJ ECO,trance,6.3075,4.4875
Judas,The Verve,britpop,5.853999999999999,3.25
What Was Her Name (Original),Dave Clarke,electronic,5.576540084388185,4.487426160337552
Tail Of The Sun,Stroke 9,acoustic,2.78875,1.99875
