,track,artist,genre,valence_tags,arousal_tags,lyrics
1,Trial By Fire,Kiss,hard rock,3.85,5.64," Only got one life to live, I'm going to live it, oh yeah Some people say I go to far I don't care, reaching for the stars  Going to climb that ladder to the top Nothin' can stop me now Well, look out world Because here I come Oh yeah, oh yeah  Life's a trial by fire I'm going to live my life, oh yeah It's a trial by fire So just roll the dice, oh yeah And I'll take what I get  Can't listen to nobody else, you just got to believe in yourself They'll criticize you and lay down the law They'll say, just who do you think you are Going to live it untill the rivers run dry What've I got to lose They just try and stop me, go ahead and try, oh yeah, oh yeah Life's a trial by fire So I'm going to live it up, oh yeah, oh yeah Trial by fire So just roll the dice, oh yeah, oh yeah Trial by, trial by fire Never going to give it up, oh yeah, oh yeah, oh yeah  People say I'm crazy They don't understand They haven't got a clue, oh no They say, Tell me everything They say, Let me hear you sing I say, ""Tell you what I'm going to do"", oh yeah  Because I'm going to live my life the way I want to Live it, live it the way I want it  Trial by fire I'm going to live my life, oh yeah, oh yeah Trial by, trial by fire So just roll the dice, oh yeah, oh yeah Trial by, trial by fire, fire I'm goong to live it up, oh yeah, oh, oh, oh yeah Trial by, yeah, fire, yeah I'm going live it up, oh yeah Trial by, yeah, yeah, fire, yeah I'm going live my life, oh yeah"
2,Sunrise Calendar,Tycho,ambient,6.99,3.795," Houses and fields are especially Plants into the ground Citizens  Citizens  Plants into the ground Citizens  Citizens  Plants into the ground Plants into the ground Of placing seeds and plants into the ground Modern civilization stems from the simple act We must stay around to enjoy the fruits of our labor We invest so much time and energy in tending our plants When the plants are ready for harvest Being volunteers with, with citizens  of the, of the  Houses and fields are especially Of placing seeds and plants into the ground Modern civilization stems from the simple act We attempt to placate it Since we can not escape nature"
3,The Flower Called Nowhere,Stereolab,electronica,3.98,2.957142857142857," All the small boats on the water Aren't going anywhere Surely, they must be loaded with More than simple matter Floating on top and gracefully Tending to the same pole All the small boats on the water Going nowhere  Is it true that none of them Will ever break free and sail? Feel the night is made of rocks The stagnant mass Is it true that none of them Will ever break free and sail? Break free from the stagnant boats Left in obscurity, left in obscurity  All the faces with their eyes closed Giving a smile, weightless Like a body that would vacate To its own light Is it true that none of these Contented, happy faces Will not ever hear a cry? Won't hear a cry? Is it true that none of these Contented, happy faces Will not ever hear a cry? Filled with love, not with desire Love, not desire  All the small boats on the water Aren't going anywhere Surely, they must be loaded with More than simple matter Floating on top and gracefully Tending to the same pole All the small boats on the water Going nowhere  Is it true that none of them Will ever break free and sail? Feel the night is made of rocks The stagnant mass Is it true that none of them Will ever break free and sail? Break free from the stagnant boats Left in obscurity, left in obscurity"
5,I'll Be Waiting,Eurielle,noise,5.510588235294118,4.205294117647059," If I win or I lose Doesn't matter 'cause I feel your love (your love, your love, your love, your love) With you here by my side I can make it through when times are tough (are tough, are tough, are tough, are tough)  When I'm without you I feel it in the air (I feel it in the air) When you're not there  I'll be waiting, wishing on the stars Anticipating, hoping you're not far I'll be waiting, without wanting to All I'm saying is I'll be missing you  De Fumo, in flammam Amor, cineri Amor vincit omnia  Every night, every day You will never leave me here alone (alone, alone, alone, alone) Near or far, in my heart You are always guiding me home (me home, me home, me home, me home) When I'm without you I feel it in the air (I feel it in the air) When you're not there  I'll be waiting, wishing on the stars Anticipating, hoping you're not far I'll be waiting, without wanting to All I'm saying is I'll be missing you  De Fumo, in flammam Amor, cineri Amor vincit omnia De Fumo, in flammam Amor, cineri Amor vincit omnia  I'll be waiting  I'll be waiting, wishing on the stars Anticipating, hoping you're not far I'll be waiting, without wanting to All I'm saying is I'll be missing you I'll be waiting, wishing on the stars Anticipating, hoping you're not far I'll be waiting, without wanting to All I'm saying is I'll be missing you"
8,Full of Fire,The Knife,experimental,3.995,3.745,"Sometimes I get problems that are hard to solve What’s your story? That’s my opinion Questions and the answers can take very long Here’s a story What’s your opinion? Sometimes I get problems that are hard to solve What’s your story? That’s my opinion Questions and the answers can take very long Here’s a story What’s your opinion? Of all the guys and the signori Who will write my story Get the picture, they get glory Who looks after my story? All the guys and the signori Telling another false story Liberals giving me a nerve itch Liberals giving me a nerve itch Liberals giving me a nerve itch Liberals giving me a nerve Now living and always moving Now living and always moving Not a vagina It's an option The cock Had it coming Not a vagina It's an option The cock Had it coming Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha Now living and always moving Now living and always falling Sometimes I get problems that are hard to solve Here’s a story That’s my opinion Liberals giving me a nerve itch Liberals giving me a nerve itch Ha ha ha ha Ha ha ha ha Ha ha ha ha Ha ha ha ha When you’re full of fire What’s the object of your desire? When you’re full of fire What’s the object of your desire? When you’re full of fire What’s the object of your desire? Asking questions that are easy to reply Asking questions that are easy to reply When you’re full of fire What’s the object of your desire? Let’s talk about gender, baby Let’s talk about you and me Let’s talk about gender, baby Let’s talk about you and me Let’s talk about gender, baby Let’s talk about you and me Let’s talk about gender, baby Let’s talk about you and me"
10,Vulture Horticulture,Shores of Elysium,metalcore,5.0,5.28,A single sunflower is all he could afford Who knew a simple garden could deter an undead hoard You'll reap the benefit while they photosynthesize They hunger for the organ setting right behind your eyes As the decomposing hoard Draws closer to your door The foul stench of the undead spewing bile from their pores Enough to make you heave They long to watch you bleed The switch was hit their feeble minds only tell them to feed These plants will not suffice Your brains set in their sights All you can do is watch and pray you'll make it through the night This is your last resort The fiends will be no more These vicious bombs you wield will send them to the morgue What once was dead now thrives again He deploys armies from his cold dead armored hands The zomboss lays your plans to waste He Consumes countless souls and smashes scouts within his hands Interested in intellects taste With the cruelest of intentions The dead were resurrected Miles of mindless minions march to munch upon your marrow Inclined to make you one of the infected
11,There She Goes Again,R.E.M.,rock,5.779999999999999,2.665," There she goes again She’s out on the streets again She’s down on her knees, my friend But you know she’ll never ask you please again  Now take a look, there’s no tears in her eyes She won’t take it from just any guy, what can you do You see her walking on down the street Look at all your friends she’s going to meet You better hit her  There she goes again She’s knocked out on her feet again She’s down on her knees, my friend But you know she’ll never ask you please again   She’s going to bawl and shout She’s going to work it She’s going to work it out, bye bye Bye bye baby All right"
14,Rugla,Amiina,ambient,6.12296,3.5964,"Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla Ég er ugla, sumar ugla, ég er ugla, sumar ugla"
17,Falling In,Tapping the Vein,gothic rock,7.295,6.565,"I realize this is one man's sin But I can't deny that you're pulling me in You found a way to get inside my head And yes, I'm gonna know better than to sleep with you But at the same time I've got this need to feel you Let me put my hands all over you I feel I'm falling in If I threw you off, I didn't intend to I'm just wondering, do you feel me too? And you've no idea what I'd do to you Now, do you? Do you? Well, I do Come lie with me and then Let me touch you for hours on end Steal a little piece of happiness And yes, I ought to know better and I've thought it through But I can't shake the need to please you Tell me what you need, I'll give it to you I feel I'm falling in If I threw you off, I didn't intend to I just want to know, do you feel it too? Do you want to know what I'd do to you Now, do you? Do you? Well, sure you do And if I threw you off, I didn't intend to I'm just wondering, do you feel me too? And you've no idea what I'd do to you Now, do you? Do you? Didn't mean to offend you I'm just wondering, do you feel it too? And I want to know, do you want me too Now, do you? Do you? Well, maybe you do..."
18,Autumn Perspective,Vanessa Daou,electronica,5.685,3.375,"Now, moving in, cartons on the floor The radio playing to bare walls Picture hooks left stranded In the unsoiled squares where paintings were And something reminding us This is like all other moving days; Finding the dirty ends of someone else's life Hair fallen in the sink, a peach pit And burned-out matches in the corner; Things not preserved, yet never swept away Like fragments of disturbing dreams We stumble on all day In ordering our lives, we will discard them Scrub clean the floorboards of this our home Lest refuse from the lives we did not lead Become, in some strange, frightening way, our own And we have plans that will not tolerate our fears A year laid out like rooms in a new house The dusty wine glasses rinsed off The vases filled, and bookshelves Sagging with heavy winter books Seeing the room always as it will be We are content to dust and wait We will return here from the dark and silent streets Arms full of books and food Anxious as we always are in winter And looking for the Good Life we have made I see myself then: tense, solemn In high-heeled shoes that pinch Not basking in the light of goals fulfilled But looking back to now and seeing A lazy, sunburned, sandaled girl In a bare room, full of promise And feeling envious Now we plan, postponing Pushing our lives forward into the future As if, when the room contains us and all our treasured junk We will have filled whatever gap it is that makes us wander Discontented from ourselves The room will not change: A rug, or armchair, or new coat of paint Won't make much difference; Our eyes are fickle But we remain the same beneath our suntans Pale, frightened Dreaming ourselves backward and forward in time Dreaming our dreaming selves I look forward and see myself look back"
