track,artist,genre,valence_tags,arousal_tags
Something Spooked the Horses,Zoviet France,ambient,4.386666666666667,2.543333333333333
Real,Kendrick Lamar,hip-hop,5.556740740740741,3.2532592592592597
Them,The Jim Carroll Band,rock,2.513333333333333,3.3233333333333333
Look Up,Chris Bell,pop,7.42,3.17
A Whore For A Dream,Christina Antipa,singer-songwriter,5.702534364261168,3.959879725085912
Yoshimi Battles The Pink Robots Pt. 2,The Flaming Lips,indie,5.914375000000001,4.05625
3 AM,Liv Kristine ft Nick Holmes,alternative,5.29,3.48
Hickory Dickory Dock (Bonus Track),Elizabeth Mitchell,kids,7.570000000000001,5.5
I Won't Last A Day Without You,Carpenters,easy listening,6.189694656488549,3.42854961832061
Bitter,Basilisk,black metal,2.93,4.445
Jesus Wants Me For A Sunbeam,The Vaselines,indie,6.419999999999999,3.905
Antonin  Dvořák: Sonatina Op.100: Finale-Allegro,Volodja Balžalorsky,classical,7.252692307692309,4.415
Hum a Silent Prayer,Six Organs of Admittance,experimental,4.4,6.0
Relax,Calvin Harris,electronic,7.998205128205127,5.50974358974359
Gutta,Big Left,hip-hop,1.97,2.18
Lay It Down Slow,Spiritualized,sleep,3.3891698113207545,2.077698113207547
Luminesand Box,Skerror,noise,4.6525,4.9325
Shameful Metaphors,Chevelle,hard rock,2.8385714285714285,5.192857142857143
Makeda ~Queen of Sheba~,志方あきこ,folk,4.105973053892216,4.190359281437125
Run Londinium,Daniel Pemberton,,4.19,4.55
Miss. Holy Roller,Will Smith,hip-hop,7.25,5.65
La Vie a 2,Manu Chao,reggae,7.22,6.02
Scarlet Leaves,Ataraxia,medieval,5.096666666666666,3.989475065616798
Don't Know Any Better,Puressence,pop rock,3.495,2.9400000000000004
Dear Paul,Barbie Almalbis,pop,7.26,2.55
papo virtual,Deise Tigrona,funk carioca,6.1275,5.607499999999999
The Rolling Dophins,Yarinka Collucci,water,2.0,2.85
De Ushuaia a la Quiaca,Gustavo Santaolalla,guitar,5.622810810810811,4.380648648648648
Watch the Angel Not the Wire,Black Box Recorder,alternative,4.32,3.55
Beneath The Silver Moon,Matthew Perryman Jones,,3.41,3.123333333333333
Ave Maria,シカタ★アキコ,trance,4.659460227272728,4.219943181818181
Trad Velecido,Casino Versus Japan,electronic,1.7,2.785
ここんがこん,志方あきこ,world,5.090555555555556,4.5777777777777775
The Look Of Love,Dusty Springfield,soul,6.414666666666667,4.2471851851851845
Lizard Point,Brian Eno,ambient,5.01076923076923,3.6061538461538456
Lack of Color,Sunday Lane,pop,6.575,3.015
Love Me in a Special Way,Tamia,soul,7.125,4.57
Aquelas Coisas Todas,Toninho Horta,,8.0,5.76
If God Made You,Five for Fighting,pop,7.428387096774193,4.129354838709678
I Am Shell I Am Bone,Gazelle Twin,electronic,4.0925,4.742249999999999
GBs,NoYz?,,7.81,5.33
Astrology,Mr. Solo,,7.25,5.65
Do Not Multiply Models,CiM,ambient,2.105,2.3
High Rising,Suede,britpop,5.68,4.95
Fourteen Autumns and Fifteen Winters,The Twilight Sad,indie,2.86,2.045
Inokashida Skizze,Felix Kubin,electronic,4.74,3.4
Cloud 9,Rahsaan Patterson,soul,6.3950000000000005,5.995
Gypsy Death & You,The Kills,garage rock,4.2875,3.94
7.2,High And Mighty Color,j-rock,7.12,6.1
We Might Feel Unsound,James Blake,electronic,7.1,3.855
Store,The Mountain Goats,,7.45,5.05
Move Your Little Self On,Avril Lavigne,pop,7.576666666666667,4.906666666666666
Po visko,Atika,acoustic,6.84,3.810000000000001
Kingdom of Doom,"The Good, the Bad & the Queen",indie,5.4524561403508764,4.110175438596492
The Painful Fact,Trümmerwelten,,1.375,2.43
We Are Dying,IIkharus,noise,2.9,5.09
Winters Love,Animal Collective,experimental,6.536293103448277,4.244741379310344
Lovebites And Razorlines,Glassjaw,post-hardcore,1.6866666666666663,4.133333333333334
"Which To Bury, Us Or The Hatchet (Acoustic)",Relient K,acoustic,6.1625,5.2775
Blue Heaven,Essence,,2.915,3.635
Tis Agapis Ta Thymata,Ivi Adamou,electronic,6.185,6.01
Look On Down From The Bridge,Mazzy Star,dream pop,4.567201365187713,3.5171672354948806
Ominous,Punishment of Scaphae,black metal,2.375,5.075
Talking Bear Mountain Picnic Massacre Blues,Bob Dylan,folk,7.81,5.33
Cross Where You Like,Buddhuza,indie,4.6433333333333335,1.7666666666666666
Losing My Religion (REM),Scary Kids Scaring Kids,alternative,5.083559322033898,5.726271186440679
The Trial of Job Ballad,tAaOS,soundtrack,6.101666666666667,3.673333333333333
Cats Play,Zan-zan-zawa-veia,electronic,6.475308056872038,4.858379146919431
This Is Not Who We Were,Mull Historical Society,indie,7.45,4.19
Sundance,Sam Roberts,soul,0.948955223880597,1.047910447761194
Sakura KISS,河辺千恵子,anime,7.966638655462184,5.733865546218488
Mecca,Sheila Chandra,world,3.755,4.6475
Bracing,Brett Estep,chill,3.16,2.2666666666666666
Janglin,Edward Sharpe & The Magnetic Zeros,indie folk,7.43842105263158,4.840394736842106
Promise Me,Beverley Craven,pop,6.969850746268657,4.686492537313433
Ya Me Voy,Arbol,indie rock,7.45,4.19
Automatic Midnight,Hot Snakes,post-hardcore,5.86,4.45
Mere,Hilyard,ambient,1.855,2.5
Admira & Bosko,mentalEscape,ambient,4.115294117647059,3.715882352941176
Dog Faced Boy,Phish,acoustic,7.42,3.17
North,Phoenix,indie,6.6701000000000015,3.5154
High Gold,Liturgy,black metal,5.65,6.6
Ohio,"Crosby, Stills & Nash",classic rock,5.86,5.875
Red Queen,Coil,experimental,3.84875,3.485
STILL,For Lucy Hill,rock,4.935,3.905
Just a Bastard,Acumen Nation,industrial,3.26252427184466,5.538834951456311
Podmoskovnye Vecera,Camerata Mediolanense,dark ambient,2.7,2.115
Bloody Red Dungeons,Rhapsody,symphonic metal,5.23,5.012857142857143
Mind's Eye,Family Force 5,christian rock,6.16,4.455
Tarnished,Black Tape for a Blue Girl,dark ambient,3.08,4.89
Aperlae,Ataraxia,ambient,5.0307407407407405,3.694970760233919
Marks,Jeniferever,post-rock,5.57,3.38
XII,Der Blutharsch,neofolk,5.2922772277227725,4.182871287128713
NAKED HEART,茅原実里,pop,7.0633333333333335,6.1
To Wait For Something,Kalgan,ambient,4.385,3.57
Advertisement (Another Intentional Irrelevant Suicide),Roy Harper,,3.905,2.665
It's Probably Me,Eric Clapton & Sting,blues,4.45375,3.96375
We Control,Hyper,breakbeat,4.631142857142858,4.138
Another Genius Idea From Our Government,Erase Errata,post-punk,4.946666666666666,5.6433333333333335
You're Beautiful (Album Version),James Blunt,pop,7.224457831325299,3.842168674698795
Beautiful Freak,Eels,alternative,5.913865546218487,4.008739495798319
Raplaulajan vapaapäivä,Cheek,hip-hop,2.52,5.05
Man Of Glass,Myslovitz,rock,2.6228571428571428,2.801428571428572
Ms. Martha,Curtis Mayfield,soul,5.0,4.17
Moretime,Nightmares on Wax,downtempo,6.105,2.58
Find mich eines Morgens,Heinz Rudolf Kunze,german,7.26,2.55
Brothers of the Red,9 Lazy 9,acid jazz,5.833734939759036,4.33578313253012
"On a White Lake, Near a Green Mountain",M83,electronic,6.217666666666667,4.208333333333333
Dead End Driving,Ari Hest,indie,6.856,3.144
Woven Cord,Iona,progressive rock,6.05,5.45
Pigeons G-Spot,mandrillus sphynx,house,6.625,7.035
Useless Desires,Patty Griffin,singer-songwriter,4.306829268292683,3.847073170731708
Noodles,Suburban Kids with Biblical Names,swedish,5.19,3.753333333333333
Ich lass dich nicht los,Fettes Brot,german,4.272500000000001,5.3525
We Are the Future,Non Phixion,rap,6.84,3.81
Concrete Jungle (original album version),Bob Marley & The Wailers,,6.5,3.29
"Everybody Loves My Baby (Spencer Williams, Jack Palmer)",Barrel-House Jazz Band,jazz,5.68,4.27
Escape Artist,Skerror,noise,4.754285714285714,5.014285714285714
She wasn't good at Life.,The Mundanes,disco,2.2,3.0
Fütter Deine Angst,Rosenstolz,german,6.7,6.685
Dissolve (Si Begg Mix),Tipper,electronic,3.115,4.595
six days,The Battle of Land and Sea,folk,5.53,2.885714285714285
The Airship Chasm,Jack Wall,steampunk,2.459736842105263,1.6421052631578947
Boa Sorte / Good Luck,Vanessa da Mata,mpb,6.420000000000001,5.141666666666667
Wasted Years,Maroon 5,pop,4.244491525423729,4.573050847457627
The Lotus Eaters,Dead Can Dance,world,3.9422916666666654,2.6025520833333333
In A Green Cotton Sweater,Casiotone for the Painfully Alone,electronica,4.2325,2.5675
"Lovage (Love That Lovage, Baby",Lovage,trip-hop,5.927462686567164,5.001492537313433
Spirit World Rising,Daniel Johnston,,6.866,3.518
The Eternal Knot,Adiemus,new age,4.918493150684932,2.983150684931507
The Wolves (Act I & 2),Bon Iver,folk,5.520769230769231,3.633901098901099
Serious,Da Lata,bossa nova,5.88,4.05
The Bells Of Lal (Part One),Joe Satriani,instrumental rock,7.42,3.17
Forgetting,David Gray,acoustic,5.482013422818793,2.844228187919463
God Called In Sick Today,AFI,punk,5.167083333333333,4.270833333333333
Become The Hero (Intergalactic Spaceship),Adam Sapphire,hip-hop,6.39,4.516666666666667
Everglade,Tortoise,post-rock,6.323333333333333,3.0333333333333337
Jerusalem syndrom,[de:ad:cibel],dark electro,3.44,5.63
Sonata Arctica - Still Loving You,Sonata Arctica,metal,5.11,5.52
Tallest Tree,Jeremy and Rebecca,guitar,5.878333333333333,3.74
Further North,Johnathan Rice,acoustic,3.805,2.56
Ecstasy,Bone Thugs-N-Harmony,hip-hop,4.193333333333333,3.35
Fast Lane,Bad Meets Evil,rap,6.914545454545455,5.066363636363637
Don Quixote,Gordon Lightfoot,folk,4.699999999999999,1.9933333333333327
Panic,Sublime with Rome,ska,5.869999999999999,5.930000000000001
The Violet Hour,The Clientele,indie,7.33,3.3266666666666667
The Ivory of Self-Hate,Today Is The Day,easy listening,5.1,4.09
Future Quest (The Call),Meredith Monk,,6.45,6.95
Halcyon,Jon Hopkins,downtempo,7.074000000000001,3.3620000000000005
Sleep Dirt,Frank Zappa,progressive rock,3.445,3.725
While We Wait,Jack Johnson,acoustic,6.454999999999999,3.2016666666666667
Failure To Thrive,Faith and the Muse,goth,3.2666428571428576,2.942214285714285
Sadness locked in a song,Stidiek,soundtrack,4.256831683168317,3.3413861386138617
Realisation,The View,punk,7.52,4.66
DJ,Saint Etienne,electronic,6.918,4.822
Oduarpa,Ataraxia,ambient,4.966390041493775,3.7410788381742734
Go (Feat. John Mayer & Kanye West),Common,hip-hop,6.1292307692307695,3.489615384615384
San Francisco Song,Camera Obscura,indie pop,7.72,4.865
Jump Into My Mouth And Breath the Stardust,Black Moth Super Rainbow,electronic,4.816666666666666,2.316666666666667
Vapour Rumours,Shpongle,psychill,5.329625,3.9373750000000007
Change,White Lies,indie rock,5.4,2.7300000000000004
Apologize,One Republic feat. Timberland,alternative,5.012173913043479,3.935434782608697
Lying Sack of Sh*t,Combichrist,hard trance,3.44,5.63
Never Meant,American Football,emo,5.806666666666667,3.6673333333333327
Tah Stin Koh Mpor,Fiona Soe Paing,electronica,3.71,3.4
Things Will Never Be the Same Again,jj,swedish,7.297863247863248,4.455726495726495
Pokémon,The Poké-Gangsta,soundtrack,4.546,4.644
Jussun,Kastrierte Philosophen,,6.57,5.04
Mind Reader,Silverchair,alternative rock,4.905,3.608333333333333
Happy As A Dead Pig In The Sunshine,Kaki King,acoustic,6.382857142857144,3.5174025974025978
Vamos (Pilgrim),Pixies,alternative rock,5.65,6.6
Let Me Be The One,Mint Condition,soul,7.03126213592233,3.934854368932039
I Remember Nothing,Joy Division,post-punk,3.758571428571429,3.3909523809523807
Normal Days,Denali,indie rock,2.825,3.3
Blow Away (For Bill),Kate Bush,rock,5.978591549295775,3.034788732394366
Wolves,The Good Natured,indie,3.0,5.35
Daddy's Gone,Glasvegas,indie,3.421904761904762,3.7909523809523815
Scene Seven: The Dance of Eternity,Dream Theater,progressive metal,4.45,5.072500000000001
FDR,Pistol Kixx,punk,3.85,5.64
Eight,Faithless,dance,7.95,6.95
Last Night,Muddy Waters,blues,3.354,3.498
Victim,Wappenbund,,5.4,4.23
Dance To The Music,Jody Watley,dance,6.625,5.184999999999999
HEY JERKS,Youjeen,j-rock,7.95,6.95
Timeless,Uncanny,death metal,4.9375,3.895
Backdrifts (Honeymoon Is Over),Radiohead,alternative,4.84578947368421,4.0268421052631584
Mestizaje,Iconoclasta,spanish,4.21,4.6
The Mouth of Sky,Mount Eerie,,5.65,6.6
The Mayor's Story,Burn Witch Burn,,5.68,4.27
Let It Go (Club Mix),Luba,,7.45,6.62
Señorita,Justin Timberlake,pop,7.031451612903226,5.376290322580646
Aloha Steve & Danno,Radio Birdman,garage rock,6.573333333333332,6.1866666666666665
I'll Rise,Ben Harper,soul,5.28375,3.475458333333334
Morning Birds,Deuter,new age,3.304126984126984,1.3702380952380957
The Veldt (feat. Chris James) [8 Minute Edit],deadmau5,electro,7.13,3.04
Cassandra Gemini VI,The Mars Volta,progressive rock,5.7,4.7
Phloam,Aphex Twin,electronic,5.08,4.09
Amesais,ZAILM Atoyanh,soundtrack,6.123333333333333,4.688888888888888
Goodnight Julia,The Seatbelts,jazz,5.378333333333333,3.22
You Wanna Fuck Me,CocoRosie,alternative,6.747999999999999,5.5440000000000005
Ruin,Cat Power,indie,6.95,4.7
Respectable,Don McLean,classic rock,6.818888888888889,4.553333333333334
ZTO,The Devin Townsend Band,,4.8,4.64
Carry Me Back To Old Virginny,Paul Eakins,,5.67,5.4
Money Honey,Lady Gaga,pop,6.854482758620689,6.246551724137931
Black Sands,Bonobo,downtempo,5.847717391304348,3.466630434782608
Silent Death,Painbastard,industrial,4.073333333333333,3.796666666666667
Fallen From Lofty Heights,tAaOS,soundtrack,6.101666666666667,3.673333333333333
Wet the Day,The Album Leaf,ambient,5.987727272727273,3.165
Hypnos,Oöphoi,deep ambient,1.6344117647058825,1.528823529411765
stolen moments pt II feat. black thought,Common,hip hop,5.88,4.05
Slipping and Sliding,John Lennon,bounce,4.38,3.55
Don't Stop 'til You Get Enough [2003 Edit],Michael Jackson,disco,7.02,5.505
Ocean I,Klaus Wiese,ambient,3.717,2.958
High Spirits,Govi,guitar,7.12,6.1
In A Sentimental Mood,Ella Fitzgerald,jazz,7.036,4.018
Tomorrow,James,alternative,7.183333333333334,4.8575
Replicants,MillionYoung,chill,5.666666666666667,3.6233333333333335
A Certain Distance (with Ellis Paul),Dave Nachmanoff,rock,4.235,3.025
The fifth season (SSFWL),OH MY GIRL,pop,6.48,4.24
Mży,Lagesag,electronic,6.38,3.09
Blow Hole,Zan-zan-zawa-veia,electronic,4.587125,5.05375
Discreet Music,Brian Eno,ambient,6.382828282828283,2.9525252525252528
Life of The Buddha,Venerable Bhikkhu Bodhi,spoken word,3.105,1.75
Down By The River (Album Version),Neil Young,folk,3.05,3.05
Phobos,Darcy James Argue's Secret Society,jazz,6.435,4.44
Planet,Kitaro,new age,6.622105263157893,2.851578947368421
Haruka Naru Kita no Daichi,羽毛田丈史,soundtrack,7.12,6.1
Nighttime World,Robert Hood,techno,5.88,4.05
Ricordo Di Henriette,Nino Rota,soundtrack,1.87,2.065
The Goofy Goober Song,"SpongeBob SquarePants Soundtrack/Mike Simpson With SpongeBob, Patrick & Goofy Goober",cartoon,7.853333333333333,5.743333333333332
The Third Way,Icebreaker International,idm,6.77,5.145
Der Club of Bore,Gøberfin,ambient,2.54,2.045
The Kursk,Matt Elliott,sad,3.4145205479452057,3.033356164383562
Hot Mint Air Balloon,Deerhoof,math rock,5.244285714285715,4.417142857142857
Hey Brother,Beulah,indie pop,3.34,1.405
Can't Take My Eyes Off You,Andy Williams,easy listening,7.379791666666666,4.670833333333333
It is Wicked Not to Care,Belle and Sebastian,indie,5.895935114503816,4.531755725190839
You Used to Hold Me [Kenny Jason mix],Ralphi Rosario feat. Xavier Gold,house,4.0,5.7
Tribal Gathering,The Byrds,classic rock,4.166666666666667,2.543333333333333
Lay Me Down,Frames,singer-songwriter,5.973333333333334,3.69
Parade,Rachael Yamagata,cello,6.55,3.52
Segura Ele,Stefano Bollani,jazz,7.6,5.994999999999999
Paper Cuts,The Boy Least Likely To,indie,6.508066666666667,4.174666666666667
Futuristic Casket,Phantogram,electronic,5.760169491525424,3.854915254237288
Deep,Anathema,doom metal,4.75,3.925833333333333
Fill 3,Speedy J,electronic,5.48,4.42
Ave Maria,The Priests,classical,6.95,5.0
Fiddle Away,michaels' @ maximum,folk,6.965,4.324999999999999
The Venture Departs,James Newton Howard,soundtrack,6.05,5.45
1000 Лет,Zемфира,russian rock,4.216428571428572,4.973571428571428
Belonging,Sondra Sun-Odeon,folk,5.245776397515527,4.5396273291925455
Monday,Life of Agony,metal,2.53,6.2
Wonderful Woman,The Smiths,indie,5.061910112359551,4.074382022471911
Ladies And Gentleman: Miss Grace Jones,Grace Jones,disco,6.3,5.6975
et h e r e a l  sh r o u d,a u t u m n . e t e r n a l,experimental,5.29,3.48
Respirando Odio,Hongo,spanish,5.74,5.24
Развлекайся,Narkotiki,electronic,7.97375,5.63125
Approaching Silence,David Sylvian,ambient,5.704999999999999,3.32
Lunar Landings (B-Zet Radio Edit),Kalliope,spanish,5.562380952380952,4.189047619047619
Let's Wax A Fatty,Loose Ends,soul,6.823333333333333,5.913333333333333
Bazoft Rope,Muslimgauze,idm,5.921980198019802,4.440099009900989
Rat Trap 666 (feat. DJ Muggs),Die Antwoord,hip-hop,3.0,5.35
Piper,Phish,rock,5.65,6.6
