,track,artist,genre,user_id,label,date
0,Every Soul Entombed,Skáphe,black metal,22,0,2018-05-02 13:30:23
20,Come With Me,Rare Earth,rock,22,3,2019-10-17 15:03:37
27,Iko-Iko,Warren Zevon,rock,22,0,2022-01-16 00:30:27
48,Run To,Emerson Hart,rock,22,0,2018-06-01 08:56:02
49,На моей луне,Мертвые дельфины,rock,22,0,2018-07-22 22:05:20
81,Only Get So Far,Brides of Destruction,rock,22,1,2021-03-27 14:52:08
105,Rubber Biscuit,Supersuckers,rock,22,3,2019-06-15 03:53:48
116,The Song That Jane Likes,Dave Matthews Band,rock,22,2,2019-04-30 21:18:13
126,Heaven Forbid,The Fray,rock,22,2,2020-08-24 17:03:40
149,Star Me Kitten,R.E.M.,rock,22,2,2019-08-18 15:53:46
156,Elegy Of The Winter Misanthropy,Ravenmoon Sanctuary,black metal,22,2,2020-12-03 05:07:39
170,Stand in the Fire,Warren Zevon,rock,22,0,2021-01-19 18:24:13
178,Riverwide,Sheryl Crow,rock,22,2,2018-03-23 16:41:41
202,Hunting For You,Robbie Williams,rock,22,3,2020-09-27 09:31:52
206,Shakedown!,theSTART,rock,22,1,2021-06-03 12:38:55
212,White Dove,Sleepy Sun,rock,22,0,2020-03-23 00:12:36
228,Lemon Sunrise,Powderfinger,rock,22,2,2018-09-19 10:45:22
233,"We Play It, You Scream It",Crashdïet,rock,22,1,2020-12-12 23:41:20
239,Blood Trance Fusion,Nachtmystium,black metal,22,1,2018-09-25 18:23:27
243,Timglas,Lars Winnerbäck,rock,22,2,2021-09-03 12:48:56
247,Lividity,Melvins,rock,22,2,2018-11-03 05:49:11
250,Accident Sex,Vendetta Red,rock,22,2,2020-10-16 19:28:02
252,Ode to Viceroy,Mac DeMarco,rock,22,3,2021-02-26 04:03:33
281,NYC's Like a Graveyard,The Moldy Peaches,rock,22,0,2018-06-09 17:06:15
313,Champions Of Nothing,Matthew Good,rock,22,2,2019-07-25 05:28:55
359,The Black Gates,Nocternity,black metal,22,3,2020-08-24 21:07:40
368,Clyde,The Twilight Singers,rock,22,0,2018-02-28 23:44:07
372,Hot Flash Jelly Roll,Dirty Looks,rock,22,1,2020-02-08 12:44:04
379,Graduation Day,Chris Isaak,rock,22,2,2018-02-24 05:46:31
382,Exogenesis: Symphony Part 3 (Redemption),Muse,rock,22,3,2019-01-26 05:01:01
386,Deafening,Far,rock,22,3,2022-01-12 02:44:01
397,Bikeriders,Lucero,rock,22,2,2018-11-03 16:53:13
401,Fingers Of Love,Crowded House,rock,22,2,2018-09-13 09:56:07
420,Big Town,The Reds,rock,22,3,2020-06-30 21:19:17
426,Night Is Still,Strays Don't Sleep,rock,22,0,2021-03-02 06:20:53
434,Adventurer,Lou Reed,rock,22,0,2018-12-23 16:20:34
436,793 (slaget Om Lindisfarne),Enslaved,black metal,22,3,2020-06-14 15:53:51
445,What is Hip?,Gov't Mule,rock,22,0,2018-07-04 01:25:28
461,Cedars of Lebanon,U2,rock,22,0,2021-06-10 15:41:30
500,Time Between,The Byrds,rock,22,0,2019-05-01 21:13:29
501,Crashed,Slik Toxik,rock,22,1,2018-08-16 09:50:27
517,Ghosts,Stevie Nicks,rock,22,3,2018-08-02 08:28:22
519,Desperanto,Marianne Faithfull,rock,22,3,2019-12-29 09:59:13
523,Colorful,Rocco DeLuca,rock,22,3,2020-01-27 22:06:15
573,That Would Be Something,Paul McCartney,rock,22,2,2018-09-27 17:43:31
585,星座,Suara,rock,22,0,2019-09-30 20:10:20
601,Home,Foo Fighters,rock,22,2,2018-07-17 10:42:58
602,Scratches,John Frusciante,rock,22,2,2020-02-15 16:35:03
604,Return to Destiny (TV Size),Maon Kurosaki,rock,22,2,2021-07-28 19:41:04
605,Goodbye To The Broken,Ian Brown,rock,22,2,2019-11-16 01:05:06
622,Rudy (Live),Supertramp,rock,22,3,2021-12-24 16:32:05
628,Couldn't Get It Right,Fun Lovin' Criminals,rock,22,2,2018-10-06 08:37:30
641,Arizona,Kings of Leon,rock,22,2,2018-09-05 13:16:09
667,Home,Sheryl Crow,rock,22,2,2021-06-11 01:45:21
700,White Waves,Shearwater,rock,22,3,2019-04-25 14:13:41
706,Joking,Indigo Girls,rock,22,3,2020-11-20 13:50:06
727,Walk On Water,Kevin Ayers,rock,22,2,2018-09-10 10:18:25
732,Just Like Tom Thumb's Blues [Alternate Take],Bob Dylan,rock,22,0,2018-12-05 12:11:31
744,Imperfection,Saving Jane,rock,22,3,2021-09-05 04:16:39
789,We Have All The Time In The World,Fun Lovin' Criminals,rock,22,2,2021-02-25 06:19:40
790,Spangle,Jimmy Eat World,rock,22,2,2020-10-18 23:04:16
794,Steamer Trunk,Alkaline Trio,rock,22,0,2021-04-04 23:03:45
832,Wrong,Lindsey Buckingham,rock,22,0,2019-03-31 17:29:52
837,Absolute Beginners (single version),David Bowie,rock,22,2,2019-09-28 10:20:31
857,Hornets! Hornets!,The Hold Steady,rock,22,3,2021-12-30 08:01:32
869,My Heart,Paramore,rock,22,3,2018-04-07 18:32:26
875,Hello Girls,Freaks on Floor,rock,22,2,2018-11-21 07:27:26
889,All That I See,The Alternate Routes,rock,22,2,2020-05-23 11:59:57
892,Stairway to Heaven (Live),Heart,rock,22,0,2020-02-22 07:13:18
908,Anywhere,Evanescence,rock,22,2,2018-03-06 13:15:41
934,"Here, There and Everywhere",Paul McCartney,rock,22,2,2018-05-12 19:35:52
940,Lakeside,BLK JKS,rock,22,0,2020-03-06 21:38:13
973,Of Hell's Fire,Marduk,black metal,22,0,2021-02-16 14:19:04
999,Maid in Wonderland,Faster Pussycat,rock,22,1,2018-01-03 13:08:45
1027,Sabancaya,Miriam Stockley,rock,22,3,2020-10-11 12:22:34
1030,Mother We Just Can't Get Enough,New Radicals,rock,22,3,2018-06-19 07:02:55
1031,I Found My Way,Dusty Springfield,rock,22,3,2021-05-08 06:43:25
1035,He's Waiting,The Sonics,rock,22,0,2021-08-09 03:41:29
